model,dimension,category,mean,std,variance,min,max,n
UG-No Penta Hexa,vaccine,HPV,57681.24540376155,32682.96087790323,1068175931.7465532,0.9613026535354373,134192.23037357838,30
UG-No Penta Hexa,vaccine,HepB,916229.5080666638,75075.20633339642,5636286606.002045,772398.1233999899,1064511.903399999,30
UG-No Penta Hexa,vaccine,IPV,2897710.925518333,291708.1027961159,85093617236.90932,2238863.558369995,3104007.0,30
UG-No Penta Hexa,vaccine,OPV,2109188.7500264505,229100.22009562896,52486910847.86563,1871196.9999999988,2463017.6524770055,30
UG-No Penta Hexa,vaccine,PCV,2.8078123639434365,0.04697732040307041,0.0022068686322527357,2.7952571468725647,2.9835854018556485,30
UG-No Penta Hexa,vaccine,Rotavirus,891158.8438306825,157354.10838461143,24760315425.51604,612580.3851160207,1053900.3851160207,30
UG-No Penta Hexa,vaccine,TT,0.0,0.0,0.0,0.0,0.0,30
UG-No Penta Hexa,vaccine,Td,769911.0,2.1254432601278573e-11,4.517509052022935e-22,769911.0,769911.0000000001,30
UG-No Penta Hexa,manufacturer,AJ_Vaccines,1045596.3571776665,110749.11554079325,12265366593.067972,683980.5583699949,1098800.0,30
UG-No Penta Hexa,manufacturer,BB_NCIPD,183365.0,0.0,0.0,183365.0,183365.0,30
UG-No Penta Hexa,manufacturer,Bharat_Biotech,926029.9999999998,75249.99999999977,5662562499.999965,850779.9999999994,1001280.0,30
UG-No Penta Hexa,manufacturer,Bilthoven,604026.6666666666,835.6368163795134,698288.8888888888,600900.0,604250.0,30
UG-No Penta Hexa,manufacturer,Biological_E,729317.0,2.1254432601278573e-11,4.517509052022935e-22,729317.0,729317.0000000001,30
UG-No Penta Hexa,manufacturer,China_National,465874.12398785196,19781.151182072233,391293942.08799773,441440.0319609352,503404.0532682253,30
UG-No Penta Hexa,manufacturer,GSK,819300.2775267405,0.15885534970404416,0.025235022129594165,819300.0,819300.3851160208,30
UG-No Penta Hexa,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
UG-No Penta Hexa,manufacturer,LG_Chem,2143237.609740663,241900.03654559207,58515627680.75878,1736030.0633999985,2444111.903399999,30
UG-No Penta Hexa,manufacturer,Merck_Sharp,33247.450301519464,14275.558221053143,203791562.522678,0.9613026535354373,72228.05369270989,30
UG-No Penta Hexa,manufacturer,PT_Bio,828010.0,0.0,0.0,828010.0,828010.0,30
UG-No Penta Hexa,manufacturer,Panacea_Biotec,637800.0,2.1254432601278573e-11,4.517509052022935e-22,637800.0,637800.0000000001,30
UG-No Penta Hexa,manufacturer,Pfizer,2.7952571469512986,3.1682874977191696e-11,1.0038045668203596e-21,2.7952571468725647,2.795257146973576,30
UG-No Penta Hexa,manufacturer,Sanofi,115656.8,423.4299942139196,179292.95999999996,115010.0,115934.0,30
UG-No Penta Hexa,manufacturer,Serum_Institute,236125.40000000005,5.820766091346741e-11,3.3881317890172014e-21,236125.4,236125.4,30
SB-No Penta Hexa,total,total,9012488.585507996,292423.9522250818,85511767834.93694,8445220.973399993,9756823.3,30
SB-No Penta Hexa,vaccine,DT,505491.56666666665,47871.10211229271,2291642417.4455557,386084.0,593812.0,30
SB-No Penta Hexa,vaccine,DTwP,634472.3100000002,60871.485289404874,3705337721.3382344,552166.1,731529.0,30
SB-No Penta Hexa,vaccine,DTwP-Hib,129678.26666666666,30443.50259517164,926806850.2622224,78015.0,208040.0,30
SB-No Penta Hexa,vaccine,HPV,190432.51933333333,26463.90410055782,700338220.243521,158100.0,269692.07499999995,30
SB-No Penta Hexa,vaccine,HepB,959884.1238266631,117077.56414960205,13707156027.204184,772398.1233999953,1289720.0,30
SB-No Penta Hexa,vaccine,IPV,2996031.423565333,195406.40341671032,38183662496.254135,2577684.0000000005,3147064.0,30
SB-No Penta Hexa,vaccine,OPV,1842726.6743949992,120409.84917333863,14498531777.946157,1530441.0,2120866.0,30
SB-No Penta Hexa,vaccine,PCV,108271.33333333333,59901.839355918135,3588230358.2222223,60100.0,282140.0,30
SB-No Penta Hexa,vaccine,Rotavirus,1018009.5343876667,149560.05863116233,22368211137.756714,783990.0,1316800.0,30
SB-No Penta Hexa,vaccine,TT,3.880510727564494e-12,2.089718980378822e-11,4.366925416955503e-22,0.0,1.1641532182693481e-10,30
SB-No Penta Hexa,vaccine,Td,627490.8333333334,48585.33878862591,2360535145.2055573,534974.0,738880.0,30
SB-No Penta Hexa,manufacturer,AJ_Vaccines,1092821.8212246667,20326.042147100932,413147989.36572343,1003390.0000000002,1098800.0000000002,30
SB-No Penta Hexa,manufacturer,BB_NCIPD,183365.0,0.0,0.0,183365.0,183365.0,30
SB-No Penta Hexa,manufacturer,Bharat_Biotech,1042368.6666666664,93438.1133775481,8730681031.555534,850780.0,1219419.9999999995,30
SB-No Penta Hexa,manufacturer,Bilthoven,604033.3333333334,810.6924338010272,657222.2222222327,601000.0,604250.0000000005,30
SB-No Penta Hexa,manufacturer,Biological_E,685120.7333333333,61998.664221058476,3843834365.195556,613224.9999999999,777765.0,30
SB-No Penta Hexa,manufacturer,China_National,429446.7588333333,57680.714446160964,3327064819.0195622,354460.0,632160.0,30
SB-No Penta Hexa,manufacturer,GSK,685980.5324493329,98114.94129747868,9626541705.807688,553190.0,939302.656739993,30
SB-No Penta Hexa,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
SB-No Penta Hexa,manufacturer,LG_Chem,2209813.0595006626,222407.7615431002,49465212394.61252,1741406.1800000002,2669320.0,30
SB-No Penta Hexa,manufacturer,Merck_Sharp,112715.47016666667,22315.149146315624,497965881.4223108,49000.0,156800.0,30
SB-No Penta Hexa,manufacturer,PT_Bio,828010.0,1.3102112195248198e-10,1.7166534397687153e-20,828009.9999999998,828010.0000000006,30
SB-No Penta Hexa,manufacturer,Panacea_Biotec,636573.3333333334,6605.802163418328,43636622.22222226,601000.0,637800.0000000006,30
SB-No Penta Hexa,manufacturer,Pfizer,105631.33333333333,58494.298852300315,3421582998.2222223,60100.0,282140.0,30
SB-No Penta Hexa,manufacturer,Sanofi,114771.3,3177.038433824811,10093573.210000006,105280.0,115934.0,30
SB-No Penta Hexa,manufacturer,Serum_Institute,200637.24333333335,48719.92313118377,2373630909.9084554,119623.0,327663.00000000006,30
MP-No Penta Hexa,total,total,15985725.523333335,341247.1006243649,116449583684.53543,15827804.200000001,17160232.9,30
MP-No Penta Hexa,vaccine,DT,652500.0,0.0,0.0,652500.0,652500.0,30
MP-No Penta Hexa,vaccine,DTwP,977464.2733333334,13842.174859583629,191605804.84328905,936341.7,983670.8,30
MP-No Penta Hexa,vaccine,DTwP-Hib,409492.06666666665,18163.00273070385,329894668.1955555,384874.0,468090.0,30
MP-No Penta Hexa,vaccine,HPV,3039421.2990470002,120145.52152201592,14434946341.79719,2984148.0,3354526.64163,30
MP-No Penta Hexa,vaccine,HepB,940269.5080666668,118083.62860854974,13943743345.361906,772398.1234,1421346.1234,30
MP-No Penta Hexa,vaccine,IPV,3720810.4919333337,75075.20633339552,5636286606.001909,3572528.0966,3864641.8766,30
MP-No Penta Hexa,vaccine,OPV,2103427.900953,33241.4949524881,1104996986.6762917,1987708.65674,2215406.0,30
MP-No Penta Hexa,vaccine,PCV,1494320.3166666667,52700.63873545293,2777357323.124722,1474450.0,1651649.5,30
