model,variable,category,mean,std,variance,ci95,min,max,n
SB-2,S,TOTAL,3303774.9455384775,559167.0747346502,312667817467.30585,200095.3678942787,2155335.1959299995,4254765.776269998,30
SB-2,S,Diphtheria,915705.9115135738,415386.37483448314,172545840398.13373,148644.10521706656,78510.12592999969,1702279.5959299982,30
SB-2,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
SB-2,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
SB-2,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
SB-2,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
SB-2,S,Pertussis,3626.1486666666647,11456.698178775508,131255933.15955804,4099.7267910018845,0.0,47320.28999999996,30
SB-2,S,Polio,63461.907911997856,147719.9461354614,21821182486.263615,52860.90383866899,0.0,699803.3744099992,30
SB-2,S,Rotavirus,1142215.3387349995,158311.1693234977,25062426332.573166,56650.924381753044,837685.7199999996,1474410.4899999993,30
SB-2,S,Tetanus,1178765.6387112392,405508.937254175,164437498193.01044,145109.50957331833,214405.1059299998,2057481.6459299983,30
MP-1,I,TOTAL,1176278.1272129356,88238.1773034793,7785975933.84025,31575.626226273907,1011286.365187,1356917.8324259992,30
MP-1,I,DT,33852.451051066666,24230.456314522828,587115013.2099991,8670.75743471033,13400.637835000001,132708.8085799999,30
MP-1,I,DTwP,8064.998559866667,6513.555321394562,42426402.924867414,2330.845837002601,691.7436259999813,28958.152877999964,30
MP-1,I,DTwP-Hib,7143.719459333334,3202.4052475224935,10255399.369359603,1145.9660003294432,4379.209198,17820.148968,30
MP-1,I,HPV,66906.01430476895,18082.35813413647,326971675.6911713,6470.688756062999,24686.145999999986,105533.85000000002,30
MP-1,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
MP-1,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
MP-1,I,IPV,16470.582786033323,423.8919120932245,179684.35313804998,151.68777263567122,14187.854978999942,16549.297537999995,30
MP-1,I,OPV,16189.067803400025,4122.886916220716,16998196.52394396,1475.3561351572384,10101.866021,29849.287579999997,30
MP-1,I,PCV,990655.7386,76462.20986040906,5846469536.737235,27361.65039633012,813703.582,1146498.602,30
MP-1,I,Penta,19340.86805153333,5953.068931924437,35439029.70824395,2130.2783583934906,15487.094175999995,37425.688527999984,30
MP-1,I,Rotavirus,11820.510499999997,2377.4874034289837,5652446.3534634905,850.7729409477271,10074.789999999999,17144.333999999933,30
MP-1,I,TT,422.44806666666403,744.8621183128214,554819.5752974636,266.54548582826254,50.25699999999724,2304.78,30
MP-1,I,Td,5411.728030266668,7877.103200104572,62048754.825097695,2818.785178855691,648.199759,42982.80294899999,30
MP-1,S,TOTAL,3491381.92983933,598138.1086688375,357769197041.934,214040.97328598044,2099752.02627,4521757.57627,30
MP-1,S,Diphtheria,927154.4455966669,434969.0636835256,189198086361.72293,155651.68042429382,63811.66592999987,1737711.4959300002,30
MP-1,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
MP-1,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
MP-1,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
MP-1,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
MP-1,S,Pertussis,0.0,0.0,0.0,0.0,0.0,0.0,30
MP-1,S,Polio,153215.0100186624,209107.532636299,43725960205.24085,74828.16954517714,0.0,977050.3744099981,30
